iter	Logloss
0	0.68980232
1	0.686507574
2	0.6832826528
3	0.6805739165
4	0.6765719873
5	0.6733085491
6	0.6699476131
7	0.6656663254
8	0.6628755095
9	0.6598530831
10	0.6565259493
11	0.6534026845
12	0.6505561349
13	0.6483840452
14	0.6459287421
15	0.6418735424
16	0.6392552342
17	0.6366763873
18	0.6330670653
19	0.6303738888
20	0.6278286704
21	0.6251292431
22	0.6225054213
23	0.6196861865
24	0.6163148923
25	0.6127212746
26	0.6095050582
27	0.6063104736
28	0.6028313865
29	0.5996319192
30	0.5961198562
31	0.5929176531
32	0.5894548118
33	0.5872408973
34	0.5848533307
35	0.5820824742
36	0.5786250889
37	0.5763052068
38	0.5736415203
39	0.5702370593
40	0.5678637113
41	0.5652002373
42	0.5617593305
43	0.5589253575
44	0.5563747696
45	0.5538539882
46	0.5514313847
47	0.5487787506
48	0.5458744053
49	0.5428919064
50	0.5401685693
51	0.5378835129
52	0.5348549928
53	0.5325023187
54	0.5301192718
55	0.5272078599
56	0.5249103359
57	0.522701719
58	0.5200602272
59	0.5173484981
60	0.5148536282
61	0.5123774371
62	0.510198006
63	0.5082295452
64	0.5058398954
65	0.5033595745
66	0.5010276679
67	0.4984984547
68	0.4961922778
69	0.4937549374
70	0.4920131598
71	0.4899099708
72	0.4878406303
73	0.4853215413
74	0.4827497452
75	0.4807261382
76	0.4787856
77	0.475977841
78	0.4743879305
79	0.4729417975
80	0.470524165
81	0.4686218687
82	0.466328689
83	0.4645736243
84	0.4632447703
85	0.4614468345
86	0.4589144613
87	0.4565717527
88	0.4542925694
89	0.4524417911
90	0.4496811871
91	0.4479179817
92	0.4456537004
93	0.4438300116
94	0.4419560777
95	0.4402454717
96	0.4382557337
97	0.4366745136
98	0.434352045
99	0.4322676552
100	0.4302779457
101	0.4281447743
102	0.4260544751
103	0.4243534365
104	0.4225918978
105	0.4207388444
106	0.4190220245
107	0.4174399985
108	0.4155128364
109	0.4131624575
110	0.4112333328
111	0.4095009467
112	0.4065580811
113	0.4050079967
114	0.4033178385
115	0.4016706914
116	0.3999241616
117	0.3984928714
118	0.3961688067
119	0.3950913523
120	0.393281728
121	0.3909709509
122	0.3893970647
123	0.3876640558
124	0.3860578601
125	0.3842681097
126	0.3819997383
127	0.3806697169
128	0.3783636148
129	0.3765939874
130	0.3743717866
131	0.3733252968
132	0.3718170536
133	0.3705464453
134	0.3686539105
135	0.366874717
136	0.3655361793
137	0.3639333355
138	0.3630138985
139	0.361403398
140	0.359343722
141	0.3571244985
142	0.3549071555
143	0.3528412602
144	0.3513292232
145	0.3495804225
146	0.3479890266
147	0.3465717635
148	0.3449230152
149	0.3438581765
150	0.3428857705
151	0.3412785321
152	0.3394872418
153	0.3379988287
154	0.336185156
155	0.3350793907
156	0.333193197
157	0.331829395
158	0.3305334266
159	0.3292746246
160	0.3281002764
161	0.3268715731
162	0.3259774106
163	0.3244406023
164	0.3233462734
165	0.3218685244
166	0.3205928364
167	0.3192356305
168	0.3178539038
169	0.3169479843
170	0.3154737255
171	0.3138781607
172	0.3124513115
173	0.3110867994
174	0.3101500375
175	0.3095216496
176	0.3083217638
177	0.3070384673
178	0.3060132508
179	0.3045158952
180	0.3035530708
181	0.3021078216
182	0.3009181027
183	0.2998641942
184	0.2988551016
185	0.2976861387
186	0.2966622966
187	0.2955626939
188	0.2940955835
189	0.2928190913
190	0.2913308927
191	0.2900333741
192	0.2890947768
193	0.288095742
