iter	Passed	Remaining
0	2	2705
1	5	2753
2	8	2714
3	28	7156
4	44	8940
5	57	9542
6	65	9331
7	74	9223
8	78	8690
9	84	8328
10	93	8376
11	96	7934
12	110	8362
13	113	7981
14	118	7769
15	129	7950
16	132	7643
17	136	7431
18	140	7229
19	143	7046
20	146	6824
21	148	6612
22	153	6533
23	156	6365
24	159	6216
25	165	6214
26	168	6073
27	174	6058
28	180	6030
29	182	5894
30	184	5766
31	186	5647
32	189	5561
33	194	5535
34	196	5431
35	199	5340
36	207	5392
37	210	5326
38	214	5286
39	216	5202
40	220	5156
41	223	5099
42	237	5279
43	239	5203
44	242	5153
45	245	5093
46	248	5039
47	251	4989
48	255	4955
49	259	4929
50	263	4896
51	265	4834
52	267	4775
53	269	4720
54	271	4666
55	273	4610
56	275	4557
57	277	4502
58	278	4448
59	280	4395
60	282	4346
61	284	4300
62	286	4259
63	288	4213
64	289	4168
65	291	4124
66	293	4085
67	296	4059
68	300	4056
69	302	4018
70	304	3981
71	306	3944
72	308	3915
73	311	3892
74	314	3876
75	316	3852
76	320	3839
77	322	3812
78	325	3795
79	327	3765
80	329	3733
81	332	3721
82	334	3692
83	335	3662
84	338	3639
85	339	3611
86	341	3584
87	343	3563
88	345	3537
89	347	3512
90	350	3497
91	351	3472
92	353	3447
93	355	3428
94	358	3413
95	360	3392
96	362	3370
97	363	3347
98	366	3336
99	368	3319
100	371	3302
101	372	3283
102	374	3262
103	376	3243
104	378	3229
105	381	3215
106	383	3199
107	385	3181
108	388	3172
109	391	3165
110	393	3150
111	395	3133
112	397	3118
113	400	3110
114	404	3116
115	407	3105
116	409	3090
117	412	3085
118	415	3073
119	417	3060
120	419	3046
121	421	3035
122	426	3040
123	429	3032
124	432	3026
125	438	3040
126	440	3030
127	444	3025
128	449	3033
129	452	3025
130	454	3013
131	456	3002
132	460	3005
133	463	2995
134	465	2983
135	467	2969
136	469	2958
137	472	2953
138	475	2943
139	477	2931
140	479	2919
141	480	2904
142	483	2896
143	485	2887
144	487	2874
145	489	2861
146	490	2849
147	493	2841
148	495	2831
149	497	2818
150	499	2806
151	500	2794
152	502	2783
153	504	2771
154	506	2762
155	508	2752
156	510	2741
157	512	2730
158	514	2718
159	515	2706
160	518	2699
161	520	2690
162	522	2680
163	524	2673
164	526	2663
165	528	2657
166	530	2648
167	532	2637
168	534	2627
169	536	2617
170	537	2607
171	540	2599
172	542	2591
173	543	2581
174	545	2571
175	547	2561
176	548	2552
177	551	2545
178	553	2538
179	555	2530
180	557	2521
181	558	2511
182	560	2502
183	563	2497
184	565	2489
185	567	2481
186	568	2472
187	570	2463
188	572	2455
189	574	2448
190	576	2443
191	578	2436
192	580	2428
193	582	2420
194	585	2415
195	587	2408
196	588	2399
197	591	2394
198	593	2387
199	595	2382
200	597	2375
201	599	2369
202	601	2362
203	603	2355
204	605	2347
205	608	2344
206	610	2338
207	612	2331
208	614	2324
209	615	2316
210	617	2309
211	619	2304
212	622	2301
213	624	2294
214	626	2286
215	628	2279
216	631	2276
217	633	2271
218	635	2264
219	636	2257
220	638	2250
221	640	2243
222	642	2239
223	644	2232
224	646	2226
225	648	2219
226	649	2212
227	651	2206
228	654	2202
229	656	2197
230	658	2191
231	660	2185
232	661	2178
233	664	2174
234	667	2171
235	668	2165
236	670	2159
237	672	2152
238	674	2146
239	676	2143
240	679	2138
241	681	2133
242	682	2127
243	684	2121
244	687	2117
245	689	2112
246	691	2107
247	693	2101
248	694	2095
249	696	2089
250	699	2087
251	701	2082
252	703	2077
253	705	2071
254	707	2065
255	711	2068
256	714	2064
257	716	2061
